,nces_name,zipcode,title,address,data_id,rating,n_reviews
0,A G COX MIDDLE,28590,A.G. Cox Middle School,"2657 Church St, Winterville, NC 28590",0x89aec342b237bc4d:0xa191d75712d72b08,3.3,11
0,A H SNIPES ACADEMY OF ARTS/DES,28405,Snipes Academy of Arts & Design,"2150 Chestnut St, Wilmington, NC 28405",0x89aa1fe5da869b7d:0xb8d0a55e2746afd8,3.9,30
0,A L BROWN HIGH,28083,A.L. Brown High School,"415 Martin Luther King Jr Ave, Kannapolis, NC 28083",0x8854088e5fca3c71:0xe44e009230f5af51,3.0,26
0,A L STANBACK MIDDLE,27278,A L Stanback Middle School,"3700 NC-86, Hillsborough, NC 27278",0x89acdeecd70b3731:0x24bc45affe0a7d12,4.1,8
0,A T ALLEN ELEMENTARY,28025,A T Allen Elementary School,"3939 Abilene Rd, Concord, NC 28025",0x885412771ebfb53b:0x54b1c4fb863f641b,3.9,14
0,A.C.E. ACADEMY,28075,A.C.E. Academy,"7807 Caldwell Rd, Harrisburg, NC 28075",0x885410ac76621e61:0x3e57b4664ba1f4cf,2.9,58
0,ABBOTTS CREEK ELEMENTARY,27614,Abbotts Creek Elementary School,"9900 Durant Rd, Raleigh, NC 27614",0x89ac574566676283:0x503fa47553f08e42,4.5,8
0,ABERDEEN ELEMENTARY,28315,Aberdeen Elementary School,"525 Farrell Parkway, Aberdeen, NC 28315",0x8854b5a9e602bd3d:0x799903fa8a217759,4.8,5
0,ACADEMY AT SMITH,27407,Academy At Smith High School,"2225 S Holden Rd, Greensboro, NC 27407",0x88531a39d6dd0a03:0x648241dc19272649,4.0,19
0,ACME DELCO ELEMENTARY,28456,Acme Delco Elementary School,"16337 Old Lake Rd, Riegelwood, NC 28456",0x89aa3f0487e4de87:0x1f1bbbe22cd2ffe6,5.0,2
0,ADAMS ELEMENTARY,27511,Adams Elementary School,"805 Cary Towne Blvd, Cary, NC 27511, United States",0x89acf377a2405e1d:0xcbaed7738e5471e0,4.0,25
0,ADVANCE ACADEMY,27536,Advance Academy,"219 Charles St, Henderson, NC 27536, United States",0x89adbd77c112c4a1:0x4528c3a3196f3323,5.0,2
0,AHOSKIE ELEMENTARY,27910,Ahoskie Elementary School,"1206 1st St W, Ahoskie, NC 27910",0x89afc63734f553b5:0xa82daf8bf1b0411d,4.0,3
0,ALAMANCE ELEMENTARY,27406,Alamance Elementary School,"3600 Williams Dairy Rd, Greensboro, NC 27406",0x885322c23ff2bd43:0x4d316b94efb12070,4.8,14
0,ALBEMARLE HIGH,28001,Albemarle High School,"311 Park Ridge Rd, Albemarle, NC 28001",0x88547b6386a94c5b:0x4c6544201b0fe4fa,2.5,2
0,ALBEMARLE MIDDLE,28001,Albemarle Middle School,"1811 Badin Rd, Albemarle, NC 28001",0x88547cb96dba0e67:0x61fed203fee3f3b5,5.0,1
0,ALBEMARLE ROAD ELEMENTARY,28212,Albemarle Road Elementary School,"7800 Riding Trail Rd, Charlotte, NC 28212",0x885421f0f9e89329:0xfbed81a82a8de65,4.0,29
0,ALBEMARLE ROAD MIDDLE,28212,Albemarle Road Middle School,"6900 Democracy Dr, Charlotte, NC 28212",0x885421f0843cef05:0xfc0b30c5cc54b6e7,3.2,39
0,ALBERT H BANGERT ELEMENTARY,28562,Bangert Elementary School,"3712 Canterbury Rd, Trent Woods, NC 28562",0x89a8d0dc42f8891d:0x7251c2e29577f650,3.3,4
0,ALDERMAN ROAD ELEMENTARY,28306,Alderman Road Elementary School,"2860 Alderman Rd, Fayetteville, NC 28306",0x89ab106b3c7652bf:0xbfc3835fd9139262,3.5,11
0,ALEXANDER CENTRAL HIGH,28681,Alexander Central High School,"223 School Dr, Taylorsville, NC 28681",0x88513fc0a11d8a2b:0xb38fc9e582d83a9d,4.0,5
0,ALEXANDER GRAHAM MIDDLE,28211,Alexander Graham Middle,"1800 Runnymede Ln, Charlotte, NC 28211",0x88569e49d0297e8f:0xe7c3e04dc9018fe2,3.5,24
0,ALEXANDER WILSON ELEMENTARY,27253,Alexander-Wilson Elementary,"2518 NC-54, Haw River, NC 27258",0x89acd3a5382537cd:0x47bd81981f07595,3.9,7
0,ALGER B. WILKINS HIGH SCHOOL,28303,Alger B. Wilkins High School,"1429 Skibo Rd, Fayetteville, NC 28303",0x89ab6b1551be3f35:0xcf3d27efded506f9,5.0,2
0,ALLEGHANY HIGH,28675,Alleghany High School,"404 Trojan Ave, Sparta, NC 28675",0x8851965e730456fd:0x6f11db4628fa7d7e,4.7,3
0,ALLEN JAY ELEMENTARY,27263,Allen Jay Elementary School,"1311 E Springfield Rd, High Point, NC 27263",0x88530e7971ad1d99:0x8f4e5760788d5b0a,3.9,8
0,ALLEN JAY MIDDLE - A PREPARATORY ACADEMY,27263,Allen Jay Prep Academy,"1201 E Fairfield Rd, High Point, NC 27263",0x88530dd4f1d57781:0x2fdb1fff70bb5c67,3.8,39
0,ALLENBROOK ELEMENTARY,28208,Allenbrook Elementary School,"1430 Allenbrook Dr #28, Charlotte, NC 28208",0x8856a2314d7b3629:0x644d925a7079fdb2,4.1,11
0,ALMA O EASOM ELEMENTARY,28305,Alma Easom Elementary School,"1610 Westlawn Ave, Fayetteville, NC 28305",0x89ab6cb5c09bcd17:0x39f7e932e1efcc26,3.6,8
0,ALPHA ACADEMY,28304,Alpha Academy,"8030 Raeford Rd, Fayetteville, NC 28304",0x89ab6ccd45530edb:0x18098a46558833b2,2.6,74
0,ALSTON RIDGE ELEMENTARY,27519,Alston Ridge Elementary School,"11555 Green Level Church Road, Cary, NC 27519",0x89acee90714e982d:0xddc2150293feb376,3.7,22
0,ALTAMAHAW-OSSIPEE ELEMENTARY,27244,Altamahaw-Ossipee Elementary,"2832 N North Carolina Hwy 87, Elon, NC 27244",0x8852d64e04fe178f:0xdd9d3f5f37cf22f8,4.6,5
0,AMERICAN RENAISSANCE SCHOOL,28677,East Iredell Middle School,"590 Chestnut Grove Rd, Statesville, NC 28625, United States",0x8853e1ecc97f7919:0x966b42a35ba02b84,3.0,7
